,eruptions,waiting,,uniform log f(x),norm log f(x),V shaped,lognorm,V Shape F(x) ,norm,mu,3.487783088,waiting time,eruptions,Observed,Uniform,Normal,V Shaped
1,3.6,79,,-5.605802066,-1.056002102,-1.291568543,-4.201327327,,,sigma,1.141371251,79,1.6,0.003676471,0,0.049067758,0.208699951
2,1.8,54,,-5.605802066,-2.144494249,-0.956917585,-4.866788685,,,log L,-421.4179475,133,1.62,0.003676471,0.003676471,0.050873994,0.205289174
3,3.333,74,,-5.605802066,-1.060364167,-1.504868614,-4.257088535,,,,,207,1.65,0.003676471,0.007352941,0.053682158,0.202056352
4,2.283,62,,-5.605802066,-1.608269839,-4.238168128,-4.597027903,,lognorm,mu,3.487783088,269,1.68,0.007352941,0.011029412,0.056611712,0.199001483
5,4.533,85,,-5.605802066,-1.470472921,-0.778012836,-4.061773175,,,sigma,1.141371251,354,1.71,0.011029412,0.014705882,0.059665792,0.196124567
6,2.883,55,,-5.605802066,-1.191552217,-2.016882239,-4.374404235,,,log L,-1176.405638,409,1.74,0.014705882,0.018382353,0.062847493,0.193425606
7,4.7,88,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,497,1.77,0.036764706,0.022058824,0.066159858,0.190904597
8,3.6,85,,-5.605802066,-1.056002102,-1.291568543,-4.201327327,,V shape,a,1.6,582,1.8,0.058823529,0.025735294,0.069605873,0.188561542
9,1.95,51,,-5.605802066,-1.958793625,-1.412393114,-4.771107765,,,b,5.1,633,1.83,0.069852941,0.029411765,0.073188454,0.186396441
10,4.35,85,,-5.605802066,-1.336500096,-0.860066461,-4.083734596,,,c,2.21,718,1.86,0.102941176,0.033088235,0.076910441,0.184409293
11,1.833,54,,-5.605802066,-2.102158221,-1.040829558,-4.84464053,,,log L,-357.5495879,772,1.89,0.147058824,0.036764706,0.080774589,0.182600099
12,3.917,84,,-5.605802066,-1.121877127,-1.086134846,-4.145490866,,uniform,mean,3.487783088,856,1.92,0.154411765,0.040441176,0.084783556,0.180968858
13,4.2,78,,-5.605802066,-1.245857609,-0.932737651,-4.103463763,,,sigma,1.141371251,934,1.95,0.165441176,0.044117647,0.088939898,0.179515571
14,1.75,47,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,log L,-1524.778162,981,1.98,0.176470588,0.047794118,0.093246057,0.178240237
15,4.7,83,,-5.605802066,-1.615165962,-0.70858958,-4.043566785,,,,,1064,2.01,0.202205882,0.051470588,0.097704352,0.177142857
16,2.167,52,,-5.605802066,-1.720712959,-3.211874629,-4.652493311,,,,,1116,2.04,0.220588235,0.055147059,0.102316971,0.176223431
17,1.75,62,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,1178,2.07,0.224264706,0.058823529,0.10708596,0.175481957
18,4.8,84,,-5.605802066,-1.712056226,-0.669214414,-4.033434387,,,,,1262,2.1,0.242647059,0.0625,0.112013214,0.174918438
19,1.6,52,,-5.605802066,-2.418961771,-0.559615788,-5.016526356,,,,,1314,2.13,0.242647059,0.066176471,0.117100471,0.174532872
20,4.25,79,,-5.605802066,-1.274152722,-0.907922482,-4.096704515,,,,,1393,2.16,0.25,0.069852941,0.122349299,0.17432526
21,1.8,51,,-5.605802066,-2.144494249,-0.956917585,-4.866788685,,,,,1444,2.19,0.261029412,0.073529412,0.12776109,0.174295601
22,1.75,47,,-5.605802066,-2.210232555,-0.841848256,-4.901633435,,,,,1491,2.22,0.275735294,0.077205882,0.133337049,0.174443895
